wage,educ,has_dog,near_publictrans,ed_mother,near_privcollege,is_righthander,iq_score,scholarship,grade_avg,female,talentsup,near_4ycollege,black,ed_father,has_siblings,near_2ycollege,exper,near_parents,lives_in_city
179.69557,5,0,1,5,0,1,73.950287,0,1.3413469,0,0,0,0,3,1,0,51,0,1
1079.9932,7,0,1,7,0,1,85.825905,0,2.1847403,1,0,0,0,3,0,0,35,1,1
1479.14,7,0,1,8,0,0,74.208733,0,3.2748334,0,0,0,1,3,1,1,43,0,1
77.985023,6,0,0,11,0,1,84.693695,0,1.7582643,0,0,0,0,6,1,0,11,1,0
231.51347,6,0,1,9,0,1,101.59371,0,2.4695821,1,0,1,1,11,0,0,54,1,1
24.489565,6,0,0,3,1,0,85.594086,0,1.9487712,1,0,0,0,10,0,0,11,0,1
1868.3894,9,1,0,3,0,0,117.28434,1,1.1449058,0,0,0,0,3,1,1,17,0,0
1783.5823,8,1,1,5,1,1,92.59407,0,3.5259242,1,0,0,1,3,1,1,12,0,1
23865.004,9,0,1,8,0,1,101.94054,0,1.4060293,0,0,0,0,12,1,0,47,1,1
4175.0059,10,0,1,2,0,1,89.923782,0,2.0439081,1,0,0,0,9,0,0,28,1,1
320.17596,3,0,0,4,0,1,96.119461,0,2.2637842,1,0,0,0,3,0,0,60,1,0
504.62183,8,0,1,5,0,0,105.10633,1,1.4807802,0,0,0,1,9,0,0,14,0,1
117.82444,4,0,1,8,0,1,118.29774,0,2.4148297,0,0,0,0,3,1,1,31,0,1
373.83737,8,1,1,2,0,1,92.716125,1,2.5644135,0,0,0,1,9,0,0,9,0,1
180.97969,5,0,1,2,0,1,77.189278,0,1.5350975,1,0,0,0,8,0,0,39,0,1
3659.0818,9,0,1,7,1,1,113.1114,0,2.8512664,0,0,0,0,10,1,0,15,0,1
447.17007,9,1,1,3,0,0,72.458794,0,1,1,0,0,1,5,0,0,29,1,1
1850.7063,5,0,0,4,0,1,77.663734,1,2.1875396,1,0,0,0,1,1,0,39,1,0
44.237476,6,0,1,5,1,0,71.652542,0,2.874321,0,0,0,0,7,1,0,29,1,1
794.21582,9,0,1,2,0,0,102.70512,0,2.4137561,1,0,0,1,2,0,1,17,0,1
6762.4307,8,0,1,6,0,1,112.07101,0,1.6082816,0,0,0,0,3,1,0,16,0,1
3683.5393,7,0,1,11,0,1,116.19805,0,1.9855446,1,0,0,0,9,0,1,45,1,1
404.29172,8,0,0,5,0,1,105.12744,1,1.9796048,1,0,0,0,7,1,1,17,1,1
5059.9194,4,0,1,4,0,1,93.697853,0,2.4922822,0,0,1,0,4,1,0,51,0,1
81.671745,6,0,1,8,0,1,96.886963,1,3.7262778,1,0,0,1,11,1,0,27,1,1
200.06746,5,0,1,10,1,1,90.475365,0,2.5888186,0,0,0,0,11,1,0,41,0,1
102.00311,5,0,1,11,0,1,102.28974,0,3.8248987,0,0,0,0,8,1,0,13,0,1
462.36221,5,0,0,3,0,0,117.31818,0,2.6311243,0,0,0,0,7,0,0,43,0,1
